Normalized_signaling_variable	P_X_input	P_ZG_graded_output	P_ZB_switch_like_output
2.4756189047e-01	2.1264265985e-24	2.7307993277e-04	1.0089851827e-15
2.4906226557e-01	2.5854454090e-24	2.7549178394e-04	1.0968407909e-15
2.5056264066e-01	3.1270763195e-24	2.7792119075e-04	1.1912974040e-15
2.5206301575e-01	3.7636843517e-24	2.8037270603e-04	1.2946911668e-15
2.5356339085e-01	4.5744728219e-24	2.8284655032e-04	1.4080390293e-15
2.5506376594e-01	5.5336484111e-24	2.8533839130e-04	1.5300285536e-15
2.5656414104e-01	6.6606020465e-24	2.8784831834e-04	1.6611372267e-15
2.5806451613e-01	7.9800067201e-24	2.9038102129e-04	1.8045874346e-15
2.5956489122e-01	9.6499021438e-24	2.9293672656e-04	1.9617759547e-15
2.6106526632e-01	1.1616688908e-23	2.9551097072e-04	2.1308863590e-15
2.6256564141e-01	1.3918058057e-23	2.9810384554e-04	2.3125739149e-15
2.6406601650e-01	1.6602383237e-23	3.0072018147e-04	2.5112761194e-15
2.6556639160e-01	1.9979500021e-23	3.0336021096e-04	2.7289082262e-15
2.6706676669e-01	2.3940285762e-23	3.0601933595e-04	2.9629604445e-15
2.6856714179e-01	2.8556773694e-23	3.0869765065e-04	3.2143305067e-15
2.7006751688e-01	3.3922225620e-23	3.1140012986e-04	3.4891191327e-15
2.7156789197e-01	4.0633926554e-23	3.1412701217e-04	3.7899481045e-15
2.7306826707e-01	4.8473976284e-23	3.1687356133e-04	4.1133553460e-15
2.7456864216e-01	5.7577833989e-23	3.1963987403e-04	4.4605687100e-15
2.7606901725e-01	6.8122441879e-23	3.2243107323e-04	4.8399616833e-15
2.7756939235e-01	8.1240820405e-23	3.2524740377e-04	5.2551171908e-15
2.7906976744e-01	9.6505771581e-23	3.2808398758e-04	5.7012674630e-15
2.8057014254e-01	1.1416811947e-22	3.3094092387e-04	6.1800890494e-15
2.8207051763e-01	1.3455845824e-22	3.3382348761e-04	6.7030559178e-15
2.8357089272e-01	1.5979319646e-22	3.3673193009e-04	7.2750562720e-15
2.8507126782e-01	1.8904927347e-22	3.3966122761e-04	7.8895351033e-15
2.8657164291e-01	2.2278430422e-22	3.4261148201e-04	8.5487777833e-15
2.8807201800e-01	2.6160695484e-22	3.4558812422e-04	9.2684808073e-15
2.8957239310e-01	3.0941258719e-22	3.4859141209e-04	1.0055301980e-14
2.9107276819e-01	3.6464152530e-22	3.5161617251e-04	1.0900244037e-14
2.9257314329e-01	4.2811689974e-22	3.5466250995e-04	1.1806417028e-14
2.9407351838e-01	5.0094367798e-22	3.5773601540e-04	1.2795258412e-14
2.9557389347e-01	5.9019066816e-22	3.6083695338e-04	1.3875820981e-14
2.9707426857e-01	6.9294865243e-22	3.6395999747e-04	1.5035775769e-14
2.9857464366e-01	8.1067821173e-22	3.6710525485e-04	1.6279347976e-14
3.0007501875e-01	9.4535839347e-22	3.7027848066e-04	1.7635767364e-14
3.0157539385e-01	1.1096436182e-21	3.7347994629e-04	1.9117322558e-14
3.0307576894e-01	1.2981885995e-21	3.7670416798e-04	2.0707147192e-14
3.0457614404e-01	1.5135513741e-21	3.7995125568e-04	2.2410971815e-14
3.0607651913e-01	1.7592308628e-21	3.8322713291e-04	2.4268584998e-14
3.0757689422e-01	2.0575869170e-21	3.8653207806e-04	2.6296639762e-14
3.0907726932e-01	2.3989387835e-21	3.8986044596e-04	2.8472100748e-14
3.1057764441e-01	2.7877106570e-21	3.9321234941e-04	3.0802727106e-14
3.1207801950e-01	3.2300120173e-21	3.9659388461e-04	3.3342590809e-14
3.1357839460e-01	3.7648591101e-21	4.0000533708e-04	3.6114221348e-14
3.1507876969e-01	4.3749593196e-21	4.0344089612e-04	3.9086210250e-14
3.1657914479e-01	5.0678725645e-21	4.0690067737e-04	4.2269045707e-14
3.1807951988e-01	5.8541396748e-21	4.1039095417e-04	4.5736088958e-14
3.1957989497e-01	6.8010240438e-21	4.1391201929e-04	4.9517768317e-14
3.2108027007e-01	7.8780413072e-21	4.1745789224e-04	5.3571329784e-14
3.2258064516e-01	9.0979603458e-21	4.2102869162e-04	5.7910926569e-14
3.2408102026e-01	1.0478759194e-20	4.2463087232e-04	6.2635925507e-14
3.2558139535e-01	1.2135058811e-20	4.2826473458e-04	6.7787353820e-14
3.2708177044e-01	1.4013796000e-20	4.3192412374e-04	7.3307110381e-14
3.2858214554e-01	1.6136297666e-20	4.3560916141e-04	7.9214261946e-14
3.3008252063e-01	1.8532888184e-20	4.3932648867e-04	8.5643176662e-14
3.3158289572e-01	2.1396713570e-20	4.4307641334e-04	9.2649079268e-14
3.3308327082e-01	2.4636524587e-20	4.4685260217e-04	1.0015314367e-13
3.3458364591e-01	2.8287559801e-20	4.5065517984e-04	1.0818101268e-13
3.3608402101e-01	3.2400424873e-20	4.5449097829e-04	1.1691408369e-13
3.3758439610e-01	3.7297092063e-20	4.5836031308e-04	1.2642656664e-13
3.3908477119e-01	4.2822468873e-20	4.6225666787e-04	1.3661169554e-13
3.4058514629e-01	4.9034177658e-20	4.6618017045e-04	1.4750389917e-13
3.4208552138e-01	5.6015803678e-20	4.7013784839e-04	1.5934765861e-13
3.4358589647e-01	6.4298509452e-20	4.7413002518e-04	1.7224252747e-13
3.4508627157e-01	7.3621636623e-20	4.7814999672e-04	1.8604413705e-13
3.4658664666e-01	8.4078468541e-20	4.8219789402e-04	2.0079863438e-13
3.4808702176e-01	9.5805696476e-20	4.8628094514e-04	2.1683497616e-13
3.4958739685e-01	1.0967082007e-19	4.9039948163e-04	2.3428648935e-13
3.5108777194e-01	1.2524047417e-19	4.9454660697e-04	2.5295828374e-13
3.5258814704e-01	1.4266421603e-19	4.9872245541e-04	2.7291210852e-13
3.5408852213e-01	1.6216344751e-19	5.0293446049e-04	2.9458985075e-13
3.5558889722e-01	1.8514128188e-19	5.0718296198e-04	3.1816976658e-13
3.5708927232e-01	2.1088468644e-19	5.1146086612e-04	3.4338920211e-13
3.5858964741e-01	2.3963120477e-19	5.1576831050e-04	3.7033064417e-13
3.6009002251e-01	2.7173613459e-19	5.2011293917e-04	3.9958669396e-13
3.6159039760e-01	3.0944769618e-19	5.2449510029e-04	4.3139527432e-13
3.6309077269e-01	3.5160444070e-19	5.2890749797e-04	4.6540299541e-13
3.6459114779e-01	3.9858026070e-19	5.3335027318e-04	5.0171985978e-13
3.6609152288e-01	4.5094023426e-19	5.3783128569e-04	5.4113926745e-13
3.6759189797e-01	5.1225414453e-19	5.4235089220e-04	5.8397824261e-13
3.6909227307e-01	5.8064838244e-19	5.4690158967e-04	6.2976210577e-13
3.7059264816e-01	6.5670632110e-19	5.5148352254e-04	6.7863730555e-13
3.7209302326e-01	7.4131891802e-19	5.5610477153e-04	7.3166431600e-13
3.7359339835e-01	8.4010478815e-19	5.6076570208e-04	7.8926484612e-13
3.7509377344e-01	9.5006966101e-19	5.6545859891e-04	8.5080236008e-13
3.7659414854e-01	1.0721160724e-18	5.7018360997e-04	9.1647149779e-13
3.7809452363e-01	1.2076370486e-18	5.7494904233e-04	9.8768735468e-13
3.7959489872e-01	1.3654010365e-18	5.7975527032e-04	1.0650099424e-12
3.8109527382e-01	1.5406659055e-18	5.8459436120e-04	1.1475871013e-12
3.8259564891e-01	1.7348165520e-18	5.8946646654e-04	1.2356770825e-12
3.8409602401e-01	1.9500133608e-18	5.9438012519e-04	1.3311650491e-12
3.8559639910e-01	2.1998281423e-18	5.9933572057e-04	1.4347934123e-12
3.8709677419e-01	2.4768160354e-18	6.0432509720e-04	1.5454232489e-12
3.8859714929e-01	2.7830852609e-18	6.0934841029e-04	1.6633966290e-12
3.9009752438e-01	3.1219599817e-18	6.1441443609e-04	1.7912207554e-12
3.9159789947e-01	3.5142795885e-18	6.1952356725e-04	1.9298781777e-12
3.9309827457e-01	3.9484546009e-18	6.2466742016e-04	2.0778492479e-12
3.9459864966e-01	4.4276697056e-18	6.2984615374e-04	2.2355862909e-12
3.9609902476e-01	4.9570008598e-18	6.3506878733e-04	2.4064182540e-12
3.9759939985e-01	5.5681999612e-18	6.4033572298e-04	2.5916432928e-12
3.9909977494e-01	6.2433727773e-18	6.4563834344e-04	2.7892371464e-12
4.0060015004e-01	6.9872942725e-18	6.5097681141e-04	2.9997969161e-12
4.0210052513e-01	7.8076582002e-18	6.5636039512e-04	3.2277352672e-12
4.0360090023e-01	8.7524812687e-18	6.6178950620e-04	3.4747644241e-12
4.0510127532e-01	9.7943530543e-18	6.6725528812e-04	3.7381924522e-12
4.0660165041e-01	1.0940381157e-17	6.7275790747e-04	4.0188062284e-12
4.0810202551e-01	1.2202143719e-17	6.7830688722e-04	4.3224451952e-12
4.0960240060e-01	1.3651726458e-17	6.8390264881e-04	4.6513638812e-12
4.1110277569e-01	1.5247463697e-17	6.8953609068e-04	5.0019884321e-12
4.1260315079e-01	1.6999860954e-17	6.9520738339e-04	5.3753540536e-12
4.1410352588e-01	1.8926220824e-17	7.0092631068e-04	5.7791754226e-12
4.1560390098e-01	2.1133999671e-17	7.0669330392e-04	6.2164160837e-12
4.1710427607e-01	2.3560333399e-17	7.1249901077e-04	6.6823392574e-12
4.1860465116e-01	2.6220644050e-17	7.1834360579e-04	7.1783045299e-12
4.2010502626e-01	2.9140614453e-17	7.2423713960e-04	7.7144870267e-12
4.2160540135e-01	3.2479329542e-17	7.3018005373e-04	8.2947756515e-12
4.2310577644e-01	3.6142625244e-17	7.3616273906e-04	8.9129027767e-12
4.2460615154e-01	4.0152991114e-17	7.4218537426e-04	9.5706509730e-12
4.2610652663e-01	4.4548299062e-17	7.4825828307e-04	1.0281418152e-11
4.2760690173e-01	4.9562499707e-17	7.5438191734e-04	1.1050298823e-11
4.2910727682e-01	5.5055531616e-17	7.6054640515e-04	1.1869013631e-11
4.3060765191e-01	6.1059979592e-17	7.6675192934e-04	1.2739895743e-11
4.3210802701e-01	6.7631333607e-17	7.7300909311e-04	1.3680557188e-11
4.3360840210e-01	7.5111414279e-17	7.7931835882e-04	1.4697660457e-11
4.3510877719e-01	8.3293307073e-17	7.8566958560e-04	1.5780287049e-11
4.3660915229e-01	9.2223928129e-17	7.9206296053e-04	1.6931485586e-11
4.3810952738e-01	1.0198407746e-16	7.9850937273e-04	1.8174369070e-11
4.3960990248e-01	1.1307003712e-16	8.0500929524e-04	1.9517635694e-11
4.4111027757e-01	1.2517814751e-16	8.1155231200e-04	2.0946910643e-11
4.4261065266e-01	1.3837554793e-16	8.1813861439e-04	2.2466170591e-11
4.4411102776e-01	1.5277918335e-16	8.2477938401e-04	2.4105697045e-11
4.4561140285e-01	1.6910517959e-16	8.3147510482e-04	2.5876826514e-11
4.4711177794e-01	1.8691075727e-16	8.3821507912e-04	2.7760665434e-11
4.4861215304e-01	2.0629142659e-16	8.4499950270e-04	2.9762392177e-11
4.5011252813e-01	2.2741545320e-16	8.5183985636e-04	3.1921613801e-11
4.5161290323e-01	2.5131002940e-16	8.5873663510e-04	3.4253080126e-11
4.5311327832e-01	2.7733354749e-16	8.6567885315e-04	3.6731999948e-11
4.5461365341e-01	3.0562109334e-16	8.7266671077e-04	3.9365104947e-11
4.5611402851e-01	3.3641339174e-16	8.7971199472e-04	4.2204113062e-11
4.5761440360e-01	3.7117526255e-16	8.8681521128e-04	4.5268182312e-11
4.5911477869e-01	4.0898262975e-16	8.9396508000e-04	4.8524837400e-11
4.6061515379e-01	4.5002547993e-16	9.0116180566e-04	5.1982814278e-11
4.6211552888e-01	4.9464628319e-16	9.0841748793e-04	5.5709532045e-11
4.6361590398e-01	5.4492211574e-16	9.1573264456e-04	5.9729831778e-11
4.6511627907e-01	5.9952993774e-16	9.2309569366e-04	6.4001243697e-11
4.6661665416e-01	6.5873548625e-16	9.3050684466e-04	6.8535085349e-11
